Lineage,Hemisphere,Category,Count
DALv2/3accvm,Left,Diff,7
DALv2/3accvm,Right,Diff,7
DAMd1,Left,Diff,6
DAMd1,Right,Diff,6
DAMd2/3,Left,Diff,6
DAMd2/3,Right,Diff,6
DAMv1/2,Left,Diff,16
DAMv1/2,Right,Diff,16
DILP,Left,Diff,14
DILP,Right,Diff,14
DPLal1-3,Left,Diff,34
DPLal1-3,Right,Diff,34
DPLam,Left,Diff,14
DPLam,Right,Diff,14
DPLc1,Left,Diff,9
DPLc1,Right,Diff,9
DPLc2,Left,Diff,0
DPLc2,Right,Diff,0
DPLc3,Left,Diff,5
DPLc3,Right,Diff,5
DPLc4,Left,Diff,24
DPLc4,Right,Diff,23
DPLc5a,Left,Diff,7
DPLc5a,Right,Diff,7
DPLc5p,Left,Diff,7
DPLc5p,Right,Diff,6
DPLd,Left,Diff,7
DPLd,Right,Diff,7
DPLl1-3,Left,Diff,17
DPLl1-3,Right,Diff,17
DPLm1,Left,Diff,10
DPLm1,Right,Diff,10
DPLm2,Left,Diff,10
DPLm2,Right,Diff,10
DPLp1/2,Left,Diff,12
DPLp1/2,Right,Diff,12
DPMl1,Left,Diff,23
DPMl1,Right,Diff,22
DPMl2,Left,Diff,9
DPMl2,Right,Diff,9
DPMl3/4a,Left,Diff,1
DPMl3/4a,Right,Diff,1
DPMl3/4p,Left,Diff,7
DPMl3/4p,Right,Diff,7
DPMm1,Left,Diff,18
DPMm1,Right,Diff,18
DPMm2,Left,Diff,18
DPMm2,Right,Diff,18
DPMpl1/2,Left,Diff,21
DPMpl1/2,Right,Diff,21
DPMpl3,Left,Diff,11
DPMpl3,Right,Diff,11
DPMpm1,Left,Diff,13
DPMpm1,Right,Diff,13
DPMpm2,Left,Diff,6
DPMpm2,Right,Diff,6
MB-AL,Left,Diff,27
MB-AL,Right,Diff,29
MB-AM,Left,Diff,28
MB-AM,Right,Diff,28
MB-PL,Left,Diff,14
MB-PL,Right,Diff,14
MB-PM,Left,Diff,21
MB-PM,Right,Diff,19
OLP,Left,Diff,4
OLP,Right,Diff,5
S-AN,Left,Diff,28
S-AN,Right,Diff,28
S-LNa,Left,Diff,4
S-LNa,Right,Diff,4
S-LNad,Left,Diff,7
S-LNad,Right,Diff,8
S-LNp,Left,Diff,10
S-LNp,Right,Diff,10
S-MNa,Left,Diff,27
S-MNa,Right,Diff,28
S-MNp,Left,Diff,24
S-MNp,Right,Diff,23
S-MNp2,Left,Diff,5
S-MNp2,Right,Diff,5
S-PNa,Left,Diff,35
S-PNa,Right,Diff,35
S-PNm,Left,Diff,38
S-PNm,Right,Diff,44
S-PNp,Left,Diff,8
S-PNp,Right,Diff,8
S-PaN,Left,Diff,6
S-PaN,Right,Diff,6
TRdc,Left,Diff,14
TRdc,Right,Diff,16
TRdl-a/b,Left,Diff,14
TRdl-a/b,Right,Diff,13
TRdl-c,Left,Diff,4
TRdl-c,Right,Diff,4
TRdl-d,Left,Diff,2
TRdl-d,Right,Diff,2
TRdl-e,Left,Diff,7
TRdl-e,Right,Diff,7
TRdm,Left,Diff,15
TRdm,Right,Diff,15
TRmotor,Left,Diff,18
TRmotor,Right,Diff,18
TRvm,Left,Diff,2
TRvm,Right,Diff,2
Unbound,Left,Diff,4
Unbound,Right,Diff,4
BAla1/2,Left,SU,2
BAla1/2,Right,SU,1
BAla3/4,Left,SU,7
BAla3/4,Right,SU,6
BAlc,Left,SU,7
BAlc,Right,SU,10
BAlp1-3,Left,SU,17
BAlp1-3,Right,SU,14
BAlp4,Left,SU,2
BAlp4,Right,SU,1
BAlv,Left,SU,2
BAlv,Right,SU,3
BAmas1/2,Left,SU,10
BAmas1/2,Right,SU,7
BAmd1,Left,SU,8
BAmd1,Right,SU,7
BAmd2,Left,SU,10
BAmd2,Right,SU,10
BAmv1/2,Left,SU,19
BAmv1/2,Right,SU,17
BAmv3,Left,SU,0
BAmv3,Right,SU,0
BApd,Left,SU,0
BApd,Right,SU,0
BApv,Left,SU,1
BApv,Right,SU,0
BLAd1-4,Left,SU,4
BLAd1-4,Right,SU,2
BLAl,Left,SU,8
BLAl,Right,SU,6
BLAv1/2,Left,SU,15
BLAv1/2,Right,SU,11
BLAvm,Left,SU,7
BLAvm,Right,SU,7
BLD1,Left,SU,6
BLD1,Right,SU,5
BLD2-4,Left,SU,10
BLD2-4,Right,SU,9
BLD5/6,Left,SU,3
BLD5/6,Right,SU,4
BLP1/2,Left,SU,17
BLP1/2,Right,SU,16
BLP3/4,Left,SU,24
BLP3/4,Right,SU,23
BLVa1/2,Left,SU,4
BLVa1/2,Right,SU,5
BLVa3/4,Left,SU,11
BLVa3/4,Right,SU,10
BLVp1,Left,SU,0
BLVp1,Right,SU,0
BLVp2,Left,SU,6
BLVp2,Right,SU,9
BolwigsAxon,Left,SU,0
BolwigsAxon,Right,SU,0
CM1/3,Left,SU,15
CM1/3,Right,SU,15
CM4,Left,SU,49
CM4,Right,SU,51
CM4-CM5*,Left,SU,0
CM4-CM5*,Right,SU,0
CP1d,Left,SU,4
CP1d,Right,SU,4
CP1v,Left,SU,10
CP1v,Right,SU,8
CP2/3d,Left,SU,5
CP2/3d,Right,SU,5
CP2/3v,Left,SU,10
CP2/3v,Right,SU,14
CP4,Left,SU,2
CP4,Right,SU,2
DALcl1/2d,Left,SU,11
DALcl1/2d,Right,SU,11
DALcl1/2v,Left,SU,3
DALcl1/2v,Right,SU,2
DALcm1/2m,Left,SU,5
DALcm1/2m,Right,SU,2
DALcm1/2v,Left,SU,9
DALcm1/2v,Right,SU,8
DALd,Left,SU,6
DALd,Right,SU,8
DALl1,Left,SU,6
DALl1,Right,SU,8
DALv1,Left,SU,0
DALv1,Right,SU,0
DALv2/3,Left,SU,1
DALv2/3,Right,SU,1
DALv2/3accl,Left,SU,0
DALv2/3accl,Right,SU,0
DALv2/3accm,Left,SU,0
DALv2/3accm,Right,SU,0
DALv2/3accvl,Left,SU,0
DALv2/3accvl,Right,SU,0
DALv2/3accvm,Left,SU,0
DALv2/3accvm,Right,SU,0
DAMd1,Left,SU,1
DAMd1,Right,SU,1
DAMd2/3,Left,SU,3
DAMd2/3,Right,SU,3
DAMv1/2,Left,SU,0
DAMv1/2,Right,SU,0
DILP,Left,SU,6
DILP,Right,SU,7
DPLal1-3,Left,SU,5
DPLal1-3,Right,SU,4
DPLam,Left,SU,1
DPLam,Right,SU,1
DPLc1,Left,SU,6
DPLc1,Right,SU,6
DPLc2,Left,SU,5
DPLc2,Right,SU,5
DPLc3,Left,SU,0
DPLc3,Right,SU,0
DPLc4,Left,SU,11
DPLc4,Right,SU,9
DPLc5a,Left,SU,5
DPLc5a,Right,SU,4
